category,quantity,consumption_rate,days_to_expiry,price_per_unit,stock_level,risk_label
Dairy,48,4.3,1,249.1,48,High Risk
Fruits,55,22.02,6,53.28,55,Moderate Risk
Seafood,24,15.68,26,306.76,24,Safe
Bakery,127,19.46,7,355.53,127,Safe
Dairy,120,16.3,4,418.3,120,Moderate Risk
Meat,55,13.67,23,439.95,55,Safe
Dairy,145,4.91,20,240.19,145,High Risk
Dairy,158,3.25,3,155.63,158,High Risk
Dairy,141,16.96,15,172.42,141,Safe
Fruits,135,20.21,24,428.01,135,Safe
Vegetables,173,11.96,28,264.2,173,Safe
Bakery,190,4.18,13,181.58,190,High Risk
Bakery,185,13.6,27,314.82,185,Safe
Meat,5,23.57,7,185.55,5,Safe
Seafood,135,21.65,11,217.61,135,Safe
Bakery,28,3.24,1,178.75,28,High Risk
Vegetables,24,16.94,13,63.09,24,Safe
Dairy,103,20.62,19,46.5,103,Safe
Dairy,159,5.08,2,125.9,159,High Risk
Bakery,188,2.44,16,340.11,188,High Risk
Seafood,48,17.39,15,373.34,48,Safe
Bakery,67,8.39,19,405.93,67,Safe
Bakery,28,7.24,16,200.5,28,Safe
Bakery,192,6.84,29,158.48,192,Moderate Risk
Seafood,95,15.94,17,269.33,95,Safe
Dairy,131,19.76,2,212.34,131,High Risk
Dairy,102,21.51,23,449.22,102,Safe
Dairy,99,5.72,25,341.08,99,Moderate Risk
Bakery,151,21.66,18,386.85,151,Safe
Bakery,113,4.87,29,283.0,113,Moderate Risk
Vegetables,42,11.02,10,407.37,42,Safe
Bakery,88,12.84,27,422.06,88,Safe
Meat,5,2.92,14,384.21,5,Safe
Seafood,186,16.97,13,407.72,186,Safe
Seafood,196,19.57,20,488.46,196,Safe
Fruits,33,17.21,24,92.48,33,Safe
Vegetables,114,5.74,7,405.53,114,Moderate Risk
Vegetables,96,5.92,12,388.15,96,Moderate Risk
Seafood,29,2.44,12,25.64,29,Safe
Bakery,196,6.55,2,206.31,196,High Risk
Dairy,167,6.98,26,164.9,167,Moderate Risk
Seafood,156,24.54,21,141.99,156,Safe
Fruits,8,12.5,29,319.33,8,Safe
Bakery,26,2.67,23,68.74,26,Safe
Meat,137,8.8,4,387.69,137,Moderate Risk
Seafood,188,12.1,29,371.72,188,Safe
Dairy,170,18.45,5,224.3,170,Moderate Risk
Dairy,26,2.37,4,124.95,26,Moderate Risk
Meat,197,15.37,4,432.09,197,Moderate Risk
Fruits,106,6.25,30,19.27,106,Moderate Risk
Meat,106,15.1,17,96.33,106,Safe
Dairy,39,1.11,2,140.44,39,High Risk
Seafood,189,12.1,7,220.5,189,Safe
Seafood,11,4.07,18,353.71,11,Safe
Dairy,40,23.52,17,37.22,40,Safe
Seafood,166,7.5,5,388.17,166,Moderate Risk
Seafood,72,16.11,14,28.75,72,Safe
Meat,191,15.32,27,282.29,191,Safe
Vegetables,193,1.74,18,418.69,193,High Risk
Seafood,160,22.26,7,84.54,160,Safe
Bakery,146,19.91,26,166.25,146,Safe
Meat,53,11.72,16,463.27,53,Safe
Seafood,113,3.71,27,244.41,113,Moderate Risk
Bakery,129,4.24,11,463.56,129,High Risk
Fruits,32,15.61,15,78.74,32,Safe
Fruits,50,14.45,7,489.19,50,Safe
Seafood,44,19.19,19,391.13,44,Safe
Bakery,197,5.46,16,159.41,197,Moderate Risk
Seafood,143,1.79,20,344.17,143,High Risk
Fruits,40,20.99,21,451.83,40,Safe
Dairy,42,13.65,3,418.21,42,Moderate Risk
Meat,199,15.91,6,320.59,199,Moderate Risk
Bakery,89,8.54,7,315.13,89,Safe
Fruits,158,13.39,23,323.89,158,Safe
Meat,96,21.12,16,76.0,96,Safe
Seafood,196,15.46,26,468.3,196,Safe
Fruits,170,1.1,29,34.38,170,High Risk
Bakery,26,4.47,15,459.26,26,Safe
Bakery,36,5.3,17,157.6,36,Safe
Vegetables,33,24.0,28,377.17,33,Safe
Fruits,78,4.46,6,250.25,78,Moderate Risk
Fruits,112,17.24,23,236.01,112,Safe
Fruits,58,24.11,23,94.03,58,Safe
Vegetables,52,13.58,28,388.61,52,Safe
Fruits,107,21.95,22,89.14,107,Safe
Seafood,148,24.7,22,465.53,148,Safe
Bakery,170,1.92,12,326.95,170,High Risk
Dairy,197,1.12,20,191.65,197,High Risk
Bakery,155,1.63,13,217.31,155,High Risk
Seafood,54,6.83,26,176.01,54,Safe
Bakery,109,3.31,6,124.8,109,Moderate Risk
Dairy,55,18.27,15,370.22,55,Safe
Seafood,115,3.33,2,326.97,115,High Risk
Meat,114,22.16,4,319.51,114,Moderate Risk
Vegetables,118,9.65,3,61.83,118,Moderate Risk
Vegetables,180,8.44,23,229.16,180,Safe
Bakery,133,6.14,29,149.58,133,Moderate Risk
Dairy,99,3.11,23,130.26,99,Moderate Risk
Meat,150,2.03,9,29.51,150,High Risk
Vegetables,166,16.17,17,213.89,166,Safe
Meat,10,23.68,5,158.63,10,Moderate Risk
Vegetables,86,18.3,13,191.18,86,Safe
